Match,Team 1,Team 2,Date,Time,Season
Match 1,Royal Challengers Bangalore,Kolkata Knight Riders,2008-04-18,8:00 pm,2008
Match 2,Punjab Kings,Chennai Super Kings,2008-04-19,4:00 pm,2008
Match 3,Delhi Daredevils,Rajasthan Royals,2008-04-19,8:00 pm,2008
Match 4,Kolkata Knight Riders,Deccan Chargers,2008-04-20,4:00 pm,2008
Match 5,Mumbai Indians,Royal Challengers Bangalore,2008-04-20,8:00 pm,2008
Match 6,Rajasthan Royals,Punjab Kings,2008-04-21,8:00 pm,2008
Match 7,Deccan Chargers,Delhi Daredevils,2008-04-22,8:00 pm,2008
Match 8,Chennai Super Kings,Mumbai Indians,2008-04-23,8:00 pm,2008
Match 9,Deccan Chargers,Rajasthan Royals,2008-04-24,8:00 pm,2008
Match 10,Punjab Kings,Mumbai Indians,2008-04-25,8:00 pm,2008
Match 11,Chennai Super Kings,Kolkata Knight Riders,2008-04-26,4:00 pm,2008
Match 12,Royal Challengers Bangalore,Rajasthan Royals,2008-04-26,8:00 pm,2008
Match 13,Punjab Kings,Delhi Daredevils,2008-04-27,4:00 pm,2008
Match 14,Mumbai Indians,Deccan Chargers,2008-04-27,8:00 pm,2008
Match 15,Royal Challengers Bangalore,Chennai Super Kings,2008-04-28,8:00 pm,2008
Match 16,Kolkata Knight Riders,Mumbai Indians,2008-04-29,8:00 pm,2008
Match 17,Delhi Daredevils,Royal Challengers Bangalore,2008-04-30,8:00 pm,2008
Match 18,Rajasthan Royals,Kolkata Knight Riders,2008-05-01,4:00 pm,2008
Match 19,Deccan Chargers,Punjab Kings,2008-05-01,8:00 pm,2008
Match 20,Chennai Super Kings,Delhi Daredevils,2008-05-02,8:00 pm,2008
Match 21,Royal Challengers Bangalore,Deccan Chargers,2008-05-03,4:00 pm,2008
Match 22,Punjab Kings,Kolkata Knight Riders,2008-05-03,8:00 pm,2008
Match 23,Mumbai Indians,Delhi Daredevils,2008-05-04,4:00 pm,2008
Match 24,Rajasthan Royals,Chennai Super Kings,2008-05-04,8:00 pm,2008
Match 25,Royal Challengers Bangalore,Punjab Kings,2008-05-05,8:00 pm,2008
Match 26,Chennai Super Kings,Deccan Chargers,2008-05-06,8:00 pm,2008
Match 27,Mumbai Indians,Rajasthan Royals,2008-05-07,8:00 pm,2008
Match 28,Delhi Daredevils,Chennai Super Kings,2008-05-08,4:00 pm,2008
Match 29,Kolkata Knight Riders,Royal Challengers Bangalore,2008-05-08,8:00 pm,2008
Match 30,Rajasthan Royals,Deccan Chargers,2008-05-09,8:00 pm,2008
Match 31,Chennai Super Kings,Punjab Kings,2008-05-10,8:00 pm,2008
Match 32,Deccan Chargers,Kolkata Knight Riders,2008-05-11,4:00 pm,2008
Match 33,Rajasthan Royals,Delhi Daredevils,2008-05-11,8:00 pm,2008
Match 34,Punjab Kings,Royal Challengers Bangalore,2008-05-12,8:00 pm,2008
Match 35,Kolkata Knight Riders,Delhi Daredevils,2008-05-13,8:00 pm,2008
Match 36,Mumbai Indians,Chennai Super Kings,2008-05-14,8:00 pm,2008
Match 37,Delhi Daredevils,Deccan Chargers,2008-05-15,8:00 pm,2008
Match 38,Mumbai Indians,Kolkata Knight Riders,2008-05-16,8:00 pm,2008
Match 39,Rajasthan Royals,Royal Challengers Bangalore,2008-05-17,4:00 pm,2008
Match 40,Delhi Daredevils,Punjab Kings,2008-05-17,8:00 pm,2008
Match 41,Kolkata Knight Riders,Chennai Super Kings,2008-05-18,4:00 pm,2008
Match 42,Deccan Chargers,Mumbai Indians,2008-05-18,8:00 pm,2008
Match 43,Royal Challengers Bangalore,Delhi Daredevils,2008-05-19,8:00 pm,2008
Match 44,Kolkata Knight Riders,Rajasthan Royals,2008-05-20,8:00 pm,2008
Match 45,Mumbai Indians,Punjab Kings,2008-05-21,4:00 pm,2008
Match 46,Chennai Super Kings,Royal Challengers Bangalore,2008-05-21,8:00 pm,2008
Match 47,Delhi Daredevils,Kolkata Knight Riders,2008-05-22,8:00 pm,2008
Match 48,Punjab Kings,Deccan Chargers,2008-05-23,8:00 pm,2008
Match 49,Chennai Super Kings,Rajasthan Royals,2008-05-24,4:00 pm,2008
Match 50,Delhi Daredevils,Mumbai Indians,2008-05-24,8:00 pm,2008
Match 51,Deccan Chargers,Royal Challengers Bangalore,2008-05-25,4:00 pm,2008
Match 52,Kolkata Knight Riders,Punjab Kings,2008-05-25,8:00 pm,2008
Match 53,Rajasthan Royals,Mumbai Indians,2008-05-26,8:00 pm,2008
Match 54,Deccan Chargers,Chennai Super Kings,2008-05-27,8:00 pm,2008
Match 55,Royal Challengers Bangalore,Mumbai Indians,2008-05-28,4:00 pm,2008
Match 56,Punjab Kings,Rajasthan Royals,2008-05-28,8:00 pm,2008
Match 57,Delhi Daredevils,Rajasthan Royals,2008-05-30,8:00 pm,2008
Match 58,Chennai Super Kings,Punjab Kings,2008-05-31,8:00 pm,2008
Match 59,Chennai Super Kings,Rajasthan Royals,2008-06-01,8:00 pm,2008
Match 1,Chennai Super Kings,Mumbai Indians,2009-04-18,4:00 pm,2009
Match 2,Royal Challengers Bangalore,Rajasthan Royals,2009-04-18,8:00 pm,2009
Match 3,Delhi Daredevils,Punjab Kings,2009-04-19,4:00 pm,2009
Match 4,Deccan Chargers,Kolkata Knight Riders,2009-04-19,8:00 pm,2009
Match 5,Royal Challengers Bangalore,Chennai Super Kings,2009-04-20,8:00 pm,2009
Match 6,Punjab Kings,Kolkata Knight Riders,2009-04-21,4:00 pm,2009
Match 7,Mumbai Indians,Rajasthan Royals,2009-04-21,8:00 pm,2009
Match 8,Royal Challengers Bangalore,Deccan Chargers,2009-04-22,8:00 pm,2009
Match 9,Chennai Super Kings,Delhi Daredevils,2009-04-23,4:00 pm,2009
Match 10,Kolkata Knight Riders,Rajasthan Royals,2009-04-23,8:00 pm,2009
Match 11,Royal Challengers Bangalore,Punjab Kings,2009-04-24,8:00 pm,2009
Match 12,Deccan Chargers,Mumbai Indians,2009-04-25,4:00 pm,2009
Match 13,Chennai Super Kings,Kolkata Knight Riders,2009-04-25,8:00 pm,2009
Match 14,Royal Challengers Bangalore,Delhi Daredevils,2009-04-26,4:00 pm,2009
Match 15,Punjab Kings,Rajasthan Royals,2009-04-26,8:00 pm,2009
Match 16,Chennai Super Kings,Deccan Chargers,2009-04-27,4:00 pm,2009
Match 17,Kolkata Knight Riders,Mumbai Indians,2009-04-27,8:00 pm,2009
Match 18,Delhi Daredevils,Rajasthan Royals,2009-04-28,8:00 pm,2009
Match 19,Royal Challengers Bangalore,Kolkata Knight Riders,2009-04-29,4:00 pm,2009
Match 20,Punjab Kings,Mumbai Indians,2009-04-29,8:00 pm,2009
Match 21,Deccan Chargers,Delhi Daredevils,2009-04-30,4:00 pm,2009
Match 22,Chennai Super Kings,Rajasthan Royals,2009-04-30,8:00 pm,2009
Match 23,Kolkata Knight Riders,Mumbai Indians,2009-05-01,4:00 pm,2009
Match 24,Royal Challengers Bangalore,Punjab Kings,2009-05-01,8:00 pm,2009
Match 25,Deccan Chargers,Rajasthan Royals,2009-05-02,4:00 pm,2009
Match 26,Chennai Super Kings,Delhi Daredevils,2009-05-02,8:00 pm,2009
Match 27,Punjab Kings,Kolkata Knight Riders,2009-05-03,4:00 pm,2009
Match 28,Royal Challengers Bangalore,Mumbai Indians,2009-05-03,8:00 pm,2009
Match 29,Chennai Super Kings,Deccan Chargers,2009-05-04,8:00 pm,2009
Match 30,Punjab Kings,Rajasthan Royals,2009-05-05,4:00 pm,2009
Match 31,Delhi Daredevils,Kolkata Knight Riders,2009-05-05,8:00 pm,2009
Match 32,Deccan Chargers,Mumbai Indians,2009-05-06,8:00 pm,2009
Match 33,Royal Challengers Bangalore,Rajasthan Royals,2009-05-07,4:00 pm,2009
Match 34,Chennai Super Kings,Punjab Kings,2009-05-07,8:00 pm,2009
Match 35,Delhi Daredevils,Mumbai Indians,2009-05-08,8:00 pm,2009
Match 36,Deccan Chargers,Punjab Kings,2009-05-09,4:00 pm,2009
Match 37,Chennai Super Kings,Rajasthan Royals,2009-05-09,8:00 pm,2009
Match 38,Royal Challengers Bangalore,Mumbai Indians,2009-05-10,4:00 pm,2009
Match 39,Delhi Daredevils,Kolkata Knight Riders,2009-05-10,8:00 pm,2009
Match 40,Deccan Chargers,Rajasthan Royals,2009-05-11,8:00 pm,2009
Match 41,Royal Challengers Bangalore,Kolkata Knight Riders,2009-05-12,4:00 pm,2009
Match 42,Punjab Kings,Mumbai Indians,2009-05-12,8:00 pm,2009
Match 43,Deccan Chargers,Delhi Daredevils,2009-05-13,8:00 pm,2009
Match 44,Royal Challengers Bangalore,Chennai Super Kings,2009-05-14,4:00 pm,2009
Match 45,Mumbai Indians,Rajasthan Royals,2009-05-14,8:00 pm,2009
Match 46,Delhi Daredevils,Punjab Kings,2009-05-15,8:00 pm,2009
Match 47,Chennai Super Kings,Mumbai Indians,2009-05-16,4:00 pm,2009
Match 48,Deccan Chargers,Kolkata Knight Riders,2009-05-16,8:00 pm,2009
Match 49,Deccan Chargers,Punjab Kings,2009-05-17,4:00 pm,2009
Match 50,Delhi Daredevils,Rajasthan Royals,2009-05-17,8:00 pm,2009
Match 51,Chennai Super Kings,Kolkata Knight Riders,2009-05-18,8:00 pm,2009
Match 52,Royal Challengers Bangalore,Delhi Daredevils,2009-05-19,8:00 pm,2009
Match 53,Kolkata Knight Riders,Rajasthan Royals,2009-05-20,4:00 pm,2009
Match 54,Chennai Super Kings,Punjab Kings,2009-05-20,8:00 pm,2009
Match 55,Delhi Daredevils,Mumbai Indians,2009-05-21,4:00 pm,2009
Match 56,Royal Challengers Bangalore,Deccan Chargers,2009-05-21,8:00 pm,2009
Match 57,Delhi Daredevils,Deccan Chargers,2009-05-22,8:00 pm,2009
Match 58,Royal Challengers Bangalore,Chennai Super Kings,2009-05-23,8:00 pm,2009
Match 59,Royal Challengers Bangalore,Deccan Chargers,2009-05-24,8:00 pm,2009
Match 1,Deccan Chargers,Kolkata Knight Riders,2010-03-12,8:00 pm,2010
Match 2,Mumbai Indians,Rajasthan Royals,2010-03-13,4:00 pm,2010
Match 3,Punjab Kings,Delhi Daredevils,2010-03-13,8:00 pm,2010
Match 4,Kolkata Knight Riders,Royal Challengers Bangalore,2010-03-14,4:00 pm,2010
Match 5,Chennai Super Kings,Deccan Chargers,2010-03-14,8:00 pm,2010
Match 6,Rajasthan Royals,Delhi Daredevils,2010-03-15,8:00 pm,2010
Match 7,Royal Challengers Bangalore,Punjab Kings,2010-03-16,4:00 pm,2010
Match 8,Kolkata Knight Riders,Chennai Super Kings,2010-03-16,8:00 pm,2010
Match 9,Delhi Daredevils,Mumbai Indians,2010-03-17,8:00 pm,2010
Match 10,Royal Challengers Bangalore,Rajasthan Royals,2010-03-18,8:00 pm,2010
Match 11,Delhi Daredevils,Chennai Super Kings,2010-03-19,4:00 pm,2010
Match 12,Deccan Chargers,Punjab Kings,2010-03-19,8:00 pm,2010
Match 13,Rajasthan Royals,Kolkata Knight Riders,2010-03-20,4:00 pm,2010
Match 14,Mumbai Indians,Royal Challengers Bangalore,2010-03-20,8:00 pm,2010
Match 15,Deccan Chargers,Delhi Daredevils,2010-03-21,4:00 pm,2010
Match 16,Chennai Super Kings,Punjab Kings,2010-03-21,8:00 pm,2010
Match 17,Mumbai Indians,Kolkata Knight Riders,2010-03-22,8:00 pm,2010
Match 18,Royal Challengers Bangalore,Chennai Super Kings,2010-03-23,8:00 pm,2010
Match 19,Punjab Kings,Rajasthan Royals,2010-03-24,8:00 pm,2010
Match 20,Royal Challengers Bangalore,Delhi Daredevils,2010-03-25,4:00 pm,2010
Match 21,Mumbai Indians,Chennai Super Kings,2010-03-25,8:00 pm,2010
Match 22,Rajasthan Royals,Deccan Chargers,2010-03-26,8:00 pm,2010
Match 23,Punjab Kings,Kolkata Knight Riders,2010-03-27,8:00 pm,2010
Match 24,Rajasthan Royals,Chennai Super Kings,2010-03-28,4:00 pm,2010
Match 25,Deccan Chargers,Mumbai Indians,2010-03-28,8:00 pm,2010
Match 26,Delhi Daredevils,Kolkata Knight Riders,2010-03-29,8:00 pm,2010
Match 27,Mumbai Indians,Punjab Kings,2010-03-30,8:00 pm,2010
Match 28,Chennai Super Kings,Royal Challengers Bangalore,2010-03-31,4:00 pm,2010
Match 29,Delhi Daredevils,Rajasthan Royals,2010-03-31,8:00 pm,2010
Match 30,Kolkata Knight Riders,Deccan Chargers,2010-04-01,8:00 pm,2010
Match 31,Punjab Kings,Royal Challengers Bangalore,2010-04-02,8:00 pm,2010
Match 32,Chennai Super Kings,Rajasthan Royals,2010-04-03,4:00 pm,2010
Match 33,Mumbai Indians,Deccan Chargers,2010-04-03,8:00 pm,2010
Match 34,Kolkata Knight Riders,Punjab Kings,2010-04-04,4:00 pm,2010
Match 35,Delhi Daredevils,Royal Challengers Bangalore,2010-04-04,8:00 pm,2010
Match 36,Deccan Chargers,Rajasthan Royals,2010-04-05,8:00 pm,2010
Match 37,Chennai Super Kings,Mumbai Indians,2010-04-06,8:00 pm,2010
Match 38,Rajasthan Royals,Punjab Kings,2010-04-07,4:00 pm,2010
Match 39,Kolkata Knight Riders,Delhi Daredevils,2010-04-07,8:00 pm,2010
Match 40,Royal Challengers Bangalore,Deccan Chargers,2010-04-08,8:00 pm,2010
Match 41,Punjab Kings,Mumbai Indians,2010-04-09,8:00 pm,2010
Match 42,Deccan Chargers,Chennai Super Kings,2010-04-10,4:00 pm,2010
Match 43,Royal Challengers Bangalore,Kolkata Knight Riders,2010-04-10,8:00 pm,2010
Match 44,Delhi Daredevils,Punjab Kings,2010-04-11,4:00 pm,2010
Match 45,Rajasthan Royals,Mumbai Indians,2010-04-11,8:00 pm,2010
Match 46,Deccan Chargers,Royal Challengers Bangalore,2010-04-12,8:00 pm,2010
Match 47,Mumbai Indians,Delhi Daredevils,2010-04-13,4:00 pm,2010
Match 48,Chennai Super Kings,Kolkata Knight Riders,2010-04-13,8:00 pm,2010
Match 49,Rajasthan Royals,Royal Challengers Bangalore,2010-04-14,8:00 pm,2010
Match 50,Chennai Super Kings,Delhi Daredevils,2010-04-15,8:00 pm,2010
Match 51,Punjab Kings,Deccan Chargers,2010-04-16,8:00 pm,2010
Match 52,Royal Challengers Bangalore,Mumbai Indians,2010-04-17,4:00 pm,2010
Match 53,Kolkata Knight Riders,Rajasthan Royals,2010-04-17,8:00 pm,2010
Match 54,Punjab Kings,Chennai Super Kings,2010-04-18,4:00 pm,2010
Match 55,Delhi Daredevils,Deccan Chargers,2010-04-18,8:00 pm,2010
Match 56,Kolkata Knight Riders,Mumbai Indians,2010-04-19,8:00 pm,2010
Match 57,Royal Challengers Bangalore,Mumbai Indians,2010-04-21,8:00 pm,2010
Match 58,Chennai Super Kings,Deccan Chargers,2010-04-22,8:00 pm,2010
Match 59,Royal Challengers Bangalore,Deccan Chargers,2010-04-24,8:00 pm,2010
Match 60,Chennai Super Kings,Mumbai Indians,2010-04-25,8:00 pm,2010
Match 1,Chennai Super Kings,Kolkata Knight Riders,2011-04-08,8:00 pm,2011
Match 2,Deccan Chargers,Rajasthan Royals,2011-04-09,4:00 pm,2011
Match 3,Kochi Tuskers Kerala,Royal Challengers Bangalore,2011-04-09,8:00 pm,2011
Match 4,Delhi Daredevils,Mumbai Indians,2011-04-10,4:00 pm,2011
Match 5,Pune Warriors India,Punjab Kings,2011-04-10,8:00 pm,2011
Match 6,Kolkata Knight Riders,Deccan Chargers,2011-04-11,8:00 pm,2011
Match 7,Rajasthan Royals,Delhi Daredevils,2011-04-12,4:00 pm,2011
Match 8,Royal Challengers Bangalore,Mumbai Indians,2011-04-12,8:00 pm,2011
Match 9,Punjab Kings,Chennai Super Kings,2011-04-13,4:00 pm,2011
Match 10,Pune Warriors India,Kochi Tuskers Kerala,2011-04-13,8:00 pm,2011
Match 11,Deccan Chargers,Royal Challengers Bangalore,2011-04-14,8:00 pm,2011
Match 12,Rajasthan Royals,Kolkata Knight Riders,2011-04-15,4:00 pm,2011
Match 13,Mumbai Indians,Kochi Tuskers Kerala,2011-04-15,8:00 pm,2011
Match 14,Chennai Super Kings,Royal Challengers Bangalore,2011-04-16,4:00 pm,2011
Match 15,Deccan Chargers,Punjab Kings,2011-04-16,8:00 pm,2011
Match 16,Pune Warriors India,Delhi Daredevils,2011-04-17,4:00 pm,2011
Match 17,Kolkata Knight Riders,Rajasthan Royals,2011-04-17,8:00 pm,2011
Match 18,Kochi Tuskers Kerala,Chennai Super Kings,2011-04-18,8:00 pm,2011
Match 19,Delhi Daredevils,Deccan Chargers,2011-04-19,4:00 pm,2011
Match 20,Royal Challengers Bangalore,Rajasthan Royals,2011-04-19,8:00 pm,2011
Match 21,Mumbai Indians,Pune Warriors India,2011-04-20,4:00 pm,2011
Match 22,Kolkata Knight Riders,Kochi Tuskers Kerala,2011-04-20,8:00 pm,2011
Match 23,Punjab Kings,Rajasthan Royals,2011-04-21,8:00 pm,2011
Match 24,Kolkata Knight Riders,Royal Challengers Bangalore,2011-04-22,4:00 pm,2011
Match 25,Mumbai Indians,Chennai Super Kings,2011-04-22,8:00 pm,2011
Match 26,Delhi Daredevils,Punjab Kings,2011-04-23,8:00 pm,2011
Match 27,Deccan Chargers,Mumbai Indians,2011-04-24,4:00 pm,2011
Match 28,Rajasthan Royals,Kochi Tuskers Kerala,2011-04-24,8:00 pm,2011
Match 29,Chennai Super Kings,Pune Warriors India,2011-04-25,8:00 pm,2011
Match 30,Delhi Daredevils,Royal Challengers Bangalore,2011-04-26,8:00 pm,2011
Match 31,Pune Warriors India,Chennai Super Kings,2011-04-27,4:00 pm,2011
Match 32,Kochi Tuskers Kerala,Deccan Chargers,2011-04-27,8:00 pm,2011
Match 33,Delhi Daredevils,Kolkata Knight Riders,2011-04-28,8:00 pm,2011
Match 34,Rajasthan Royals,Mumbai Indians,2011-04-29,4:00 pm,2011
Match 35,Royal Challengers Bangalore,Pune Warriors India,2011-04-29,8:00 pm,2011
Match 36,Kochi Tuskers Kerala,Delhi Daredevils,2011-04-30,4:00 pm,2011
Match 37,Kolkata Knight Riders,Punjab Kings,2011-04-30,8:00 pm,2011
Match 38,Rajasthan Royals,Pune Warriors India,2011-05-01,4:00 pm,2011
Match 39,Chennai Super Kings,Deccan Chargers,2011-05-01,8:00 pm,2011
Match 40,Mumbai Indians,Punjab Kings,2011-05-02,4:00 pm,2011
Match 41,Delhi Daredevils,Kochi Tuskers Kerala,2011-05-02,8:00 pm,2011
Match 42,Deccan Chargers,Kolkata Knight Riders,2011-05-03,8:00 pm,2011
Match 43,Chennai Super Kings,Rajasthan Royals,2011-05-04,4:00 pm,2011
Match 44,Pune Warriors India,Mumbai Indians,2011-05-04,8:00 pm,2011
Match 45,Kochi Tuskers Kerala,Kolkata Knight Riders,2011-05-05,4:00 pm,2011
Match 46,Deccan Chargers,Delhi Daredevils,2011-05-05,8:00 pm,2011
Match 47,Royal Challengers Bangalore,Punjab Kings,2011-05-06,8:00 pm,2011
Match 48,Kolkata Knight Riders,Chennai Super Kings,2011-05-07,4:00 pm,2011
Match 49,Mumbai Indians,Delhi Daredevils,2011-05-07,8:00 pm,2011
Match 50,Royal Challengers Bangalore,Kochi Tuskers Kerala,2011-05-08,4:00 pm,2011
Match 51,Punjab Kings,Pune Warriors India,2011-05-08,8:00 pm,2011
Match 52,Rajasthan Royals,Chennai Super Kings,2011-05-09,8:00 pm,2011
Match 53,Deccan Chargers,Pune Warriors India,2011-05-10,4:00 pm,2011
Match 54,Punjab Kings,Mumbai Indians,2011-05-10,8:00 pm,2011
Match 55,Rajasthan Royals,Royal Challengers Bangalore,2011-05-11,8:00 pm,2011
Match 56,Chennai Super Kings,Delhi Daredevils,2011-05-12,8:00 pm,2011
Match 57,Kochi Tuskers Kerala,Punjab Kings,2011-05-13,8:00 pm,2011
Match 58,Royal Challengers Bangalore,Kolkata Knight Riders,2011-05-14,4:00 pm,2011
Match 59,Mumbai Indians,Deccan Chargers,2011-05-14,8:00 pm,2011
Match 60,Punjab Kings,Delhi Daredevils,2011-05-15,4:00 pm,2011
Match 61,Kochi Tuskers Kerala,Rajasthan Royals,2011-05-15,8:00 pm,2011
Match 62,Pune Warriors India,Deccan Chargers,2011-05-16,8:00 pm,2011
Match 63,Punjab Kings,Royal Challengers Bangalore,2011-05-17,8:00 pm,2011
Match 64,Chennai Super Kings,Kochi Tuskers Kerala,2011-05-18,8:00 pm,2011
Match 65,Pune Warriors India,Kolkata Knight Riders,2011-05-19,8:00 pm,2011
Match 66,Mumbai Indians,Rajasthan Royals,2011-05-20,8:00 pm,2011
Match 67,Punjab Kings,Deccan Chargers,2011-05-21,4:00 pm,2011
Match 68,Delhi Daredevils,Pune Warriors India,2011-05-21,8:00 pm,2011
Match 69,Royal Challengers Bangalore,Chennai Super Kings,2011-05-22,4:00 pm,2011
Match 70,Kolkata Knight Riders,Mumbai Indians,2011-05-22,8:00 pm,2011
Match 71,Royal Challengers Bangalore,Chennai Super Kings,2011-05-24,8:00 pm,2011
Match 72,Kolkata Knight Riders,Mumbai Indians,2011-05-25,8:00 pm,2011
Match 73,Royal Challengers Bangalore,Mumbai Indians,2011-05-27,8:00 pm,2011
Match 74,Chennai Super Kings,Royal Challengers Bangalore,2011-05-28,8:00 pm,2011
Match 1,Chennai Super Kings,Mumbai Indians,2012-04-04,8:00 pm,2012
Match 2,Kolkata Knight Riders,Delhi Daredevils,2012-04-05,8:00 pm,2012
Match 3,Mumbai Indians,Pune Warriors India,2012-04-06,4:00 pm,2012
Match 4,Rajasthan Royals,Punjab Kings,2012-04-06,8:00 pm,2012
Match 5,Royal Challengers Bangalore,Delhi Daredevils,2012-04-07,4:00 pm,2012
Match 6,Deccan Chargers,Chennai Super Kings,2012-04-07,8:00 pm,2012
Match 7,Rajasthan Royals,Kolkata Knight Riders,2012-04-08,4:00 pm,2012
Match 8,Pune Warriors India,Punjab Kings,2012-04-08,8:00 pm,2012
Match 9,Deccan Chargers,Mumbai Indians,2012-04-09,8:00 pm,2012
Match 10,Royal Challengers Bangalore,Kolkata Knight Riders,2012-04-10,4:00 pm,2012
Match 11,Delhi Daredevils,Chennai Super Kings,2012-04-10,8:00 pm,2012
Match 12,Mumbai Indians,Rajasthan Royals,2012-04-11,8:00 pm,2012
Match 13,Chennai Super Kings,Royal Challengers Bangalore,2012-04-12,4:00 pm,2012
Match 14,Punjab Kings,Pune Warriors India,2012-04-12,8:00 pm,2012
Match 15,Kolkata Knight Riders,Rajasthan Royals,2012-04-13,8:00 pm,2012
Match 16,Pune Warriors India,Chennai Super Kings,2012-04-14,8:00 pm,2012
Match 17,Kolkata Knight Riders,Punjab Kings,2012-04-15,4:00 pm,2012
Match 18,Royal Challengers Bangalore,Rajasthan Royals,2012-04-15,8:00 pm,2012
Match 19,Mumbai Indians,Delhi Daredevils,2012-04-16,8:00 pm,2012
Match 20,Rajasthan Royals,Deccan Chargers,2012-04-17,4:00 pm,2012
Match 21,Royal Challengers Bangalore,Pune Warriors India,2012-04-17,8:00 pm,2012
Match 22,Punjab Kings,Kolkata Knight Riders,2012-04-18,8:00 pm,2012
Match 23,Delhi Daredevils,Deccan Chargers,2012-04-19,4:00 pm,2012
Match 24,Punjab Kings,Royal Challengers Bangalore,2012-04-20,8:00 pm,2012
Match 25,Chennai Super Kings,Rajasthan Royals,2012-04-21,4:00 pm,2012
