Match,Team 1,Team 2,Date,Time,Season
Match 30,Royal Challengers Bangalore,Kolkata Knight Riders,2016-05-02,8:00 pm,2016
Match 31,Gujarat Lions,Delhi Daredevils,2016-05-03,8:00 pm,2016
Match 32,Kolkata Knight Riders,Punjab Kings,2016-05-04,8:00 pm,2016
Match 33,Delhi Daredevils,Rising Pune Supergiant,2016-05-05,8:00 pm,2016
Match 34,Sunrisers Hyderabad,Gujarat Lions,2016-05-06,8:00 pm,2016
Match 35,Royal Challengers Bangalore,Rising Pune Supergiant,2016-05-07,4:00 pm,2016
Match 36,Punjab Kings,Delhi Daredevils,2016-05-07,8:00 pm,2016
Match 37,Mumbai Indians,Sunrisers Hyderabad,2016-05-08,4:00 pm,2016
Match 38,Kolkata Knight Riders,Gujarat Lions,2016-05-08,8:00 pm,2016
Match 39,Punjab Kings,Royal Challengers Bangalore,2016-05-09,8:00 pm,2016
Match 40,Rising Pune Supergiant,Sunrisers Hyderabad,2016-05-10,8:00 pm,2016
Match 41,Royal Challengers Bangalore,Mumbai Indians,2016-05-11,8:00 pm,2016
Match 42,Sunrisers Hyderabad,Delhi Daredevils,2016-05-12,8:00 pm,2016
Match 43,Mumbai Indians,Punjab Kings,2016-05-13,8:00 pm,2016
Match 44,Royal Challengers Bangalore,Gujarat Lions,2016-05-14,4:00 pm,2016
Match 45,Kolkata Knight Riders,Rising Pune Supergiant,2016-05-14,8:00 pm,2016
Match 46,Punjab Kings,Sunrisers Hyderabad,2016-05-15,4:00 pm,2016
Match 47,Mumbai Indians,Delhi Daredevils,2016-05-15,8:00 pm,2016
Match 48,Kolkata Knight Riders,Royal Challengers Bangalore,2016-05-16,8:00 pm,2016
Match 49,Rising Pune Supergiant,Delhi Daredevils,2016-05-17,8:00 pm,2016
Match 50,Royal Challengers Bangalore,Punjab Kings,2016-05-18,8:00 pm,2016
Match 51,Gujarat Lions,Kolkata Knight Riders,2016-05-19,8:00 pm,2016
Match 52,Delhi Daredevils,Sunrisers Hyderabad,2016-05-20,8:00 pm,2016
Match 53,Rising Pune Supergiant,Punjab Kings,2016-05-21,4:00 pm,2016
Match 54,Gujarat Lions,Mumbai Indians,2016-05-21,8:00 pm,2016
Match 55,Kolkata Knight Riders,Sunrisers Hyderabad,2016-05-22,4:00 pm,2016
Match 56,Delhi Daredevils,Royal Challengers Bangalore,2016-05-22,8:00 pm,2016
Match 57,Gujarat Lions,Royal Challengers Bangalore,2016-05-24,8:00 pm,2016
Match 58,Sunrisers Hyderabad,Kolkata Knight Riders,2016-05-25,8:00 pm,2016
Match 59,Gujarat Lions,Sunrisers Hyderabad,2016-05-27,8:00 pm,2016
Match 60,Royal Challengers Bangalore,Sunrisers Hyderabad,2016-05-29,8:00 pm,2016
Match 1,Sunrisers Hyderabad,Royal Challengers Bangalore,2017-04-05,8:00 pm,2017
Match 2,Rising Pune Supergiant,Mumbai Indians,2017-04-06,8:00 pm,2017
Match 3,Gujarat Lions,Kolkata Knight Riders,2017-04-07,8:00 pm,2017
Match 4,Punjab Kings,Rising Pune Supergiant,2017-04-08,4:00 pm,2017
Match 5,Royal Challengers Bangalore,Delhi Daredevils,2017-04-08,8:00 pm,2017
Match 6,Sunrisers Hyderabad,Gujarat Lions,2017-04-09,4:00 pm,2017
Match 7,Mumbai Indians,Kolkata Knight Riders,2017-04-09,8:00 pm,2017
Match 8,Punjab Kings,Royal Challengers Bangalore,2017-04-10,8:00 pm,2017
Match 9,Rising Pune Supergiant,Delhi Daredevils,2017-04-11,8:00 pm,2017
Match 10,Mumbai Indians,Sunrisers Hyderabad,2017-04-12,8:00 pm,2017
Match 11,Kolkata Knight Riders,Punjab Kings,2017-04-13,8:00 pm,2017
Match 12,Royal Challengers Bangalore,Mumbai Indians,2017-04-14,4:00 pm,2017
Match 13,Gujarat Lions,Rising Pune Supergiant,2017-04-14,8:00 pm,2017
Match 14,Kolkata Knight Riders,Sunrisers Hyderabad,2017-04-15,4:00 pm,2017
Match 15,Delhi Daredevils,Punjab Kings,2017-04-15,8:00 pm,2017
Match 16,Mumbai Indians,Gujarat Lions,2017-04-16,4:00 pm,2017
Match 17,Royal Challengers Bangalore,Rising Pune Supergiant,2017-04-16,8:00 pm,2017
Match 18,Delhi Daredevils,Kolkata Knight Riders,2017-04-17,4:00 pm,2017
Match 19,Sunrisers Hyderabad,Punjab Kings,2017-04-17,8:00 pm,2017
Match 20,Gujarat Lions,Royal Challengers Bangalore,2017-04-18,8:00 pm,2017
Match 21,Sunrisers Hyderabad,Delhi Daredevils,2017-04-19,8:00 pm,2017
Match 22,Punjab Kings,Mumbai Indians,2017-04-20,8:00 pm,2017
Match 23,Kolkata Knight Riders,Gujarat Lions,2017-04-21,8:00 pm,2017
Match 24,Rising Pune Supergiant,Sunrisers Hyderabad,2017-04-22,4:00 pm,2017
Match 25,Mumbai Indians,Delhi Daredevils,2017-04-22,8:00 pm,2017
Match 26,Gujarat Lions,Punjab Kings,2017-04-23,4:00 pm,2017
Match 27,Kolkata Knight Riders,Royal Challengers Bangalore,2017-04-23,8:00 pm,2017
Match 28,Mumbai Indians,Rising Pune Supergiant,2017-04-24,8:00 pm,2017
Match 29,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-25,8:00 pm,2017
Match 30,Rising Pune Supergiant,Kolkata Knight Riders,2017-04-26,8:00 pm,2017
Match 31,Royal Challengers Bangalore,Gujarat Lions,2017-04-27,8:00 pm,2017
Match 32,Kolkata Knight Riders,Delhi Daredevils,2017-04-28,4:00 pm,2017
Match 33,Punjab Kings,Sunrisers Hyderabad,2017-04-28,8:00 pm,2017
Match 34,Rising Pune Supergiant,Royal Challengers Bangalore,2017-04-29,4:00 pm,2017
Match 35,Gujarat Lions,Mumbai Indians,2017-04-29,8:00 pm,2017
Match 36,Punjab Kings,Delhi Daredevils,2017-04-30,4:00 pm,2017
Match 37,Sunrisers Hyderabad,Kolkata Knight Riders,2017-04-30,8:00 pm,2017
Match 38,Mumbai Indians,Royal Challengers Bangalore,2017-05-01,4:00 pm,2017
Match 39,Rising Pune Supergiant,Gujarat Lions,2017-05-01,8:00 pm,2017
Match 40,Delhi Daredevils,Sunrisers Hyderabad,2017-05-02,8:00 pm,2017
Match 41,Kolkata Knight Riders,Rising Pune Supergiant,2017-05-03,8:00 pm,2017
Match 42,Delhi Daredevils,Gujarat Lions,2017-05-04,8:00 pm,2017
Match 43,Royal Challengers Bangalore,Punjab Kings,2017-05-05,8:00 pm,2017
Match 44,Sunrisers Hyderabad,Rising Pune Supergiant,2017-05-06,4:00 pm,2017
Match 45,Delhi Daredevils,Mumbai Indians,2017-05-06,8:00 pm,2017
Match 46,Royal Challengers Bangalore,Kolkata Knight Riders,2017-05-07,4:00 pm,2017
Match 47,Punjab Kings,Gujarat Lions,2017-05-07,8:00 pm,2017
Match 48,Sunrisers Hyderabad,Mumbai Indians,2017-05-08,8:00 pm,2017
Match 49,Punjab Kings,Kolkata Knight Riders,2017-05-09,8:00 pm,2017
Match 50,Gujarat Lions,Delhi Daredevils,2017-05-10,8:00 pm,2017
Match 51,Mumbai Indians,Punjab Kings,2017-05-11,8:00 pm,2017
Match 52,Delhi Daredevils,Rising Pune Supergiant,2017-05-12,8:00 pm,2017
Match 53,Gujarat Lions,Sunrisers Hyderabad,2017-05-13,4:00 pm,2017
Match 54,Kolkata Knight Riders,Mumbai Indians,2017-05-13,8:00 pm,2017
Match 55,Rising Pune Supergiant,Punjab Kings,2017-05-14,4:00 pm,2017
Match 56,Delhi Daredevils,Royal Challengers Bangalore,2017-05-14,8:00 pm,2017
Match 57,Mumbai Indians,Rising Pune Supergiant,2017-05-16,8:00 pm,2017
Match 58,Sunrisers Hyderabad,Kolkata Knight Riders,2017-05-17,8:00 pm,2017
Match 59,Mumbai Indians,Kolkata Knight Riders,2017-05-19,8:00 pm,2017
Match 60,Rising Pune Supergiant,Mumbai Indians,2017-05-21,8:00 pm,2017
Match 1,Mumbai Indians,Chennai Super Kings,2018-04-07,8:00 pm,2018
Match 2,Punjab Kings,Delhi Daredevils,2018-04-08,4:00 pm,2018
Match 3,Kolkata Knight Riders,Royal Challengers Bangalore,2018-04-08,8:00 pm,2018
Match 4,Sunrisers Hyderabad,Rajasthan Royals,2018-04-09,8:00 pm,2018
Match 5,Chennai Super Kings,Kolkata Knight Riders,2018-04-10,8:00 pm,2018
Match 6,Rajasthan Royals,Delhi Daredevils,2018-04-11,8:00 pm,2018
Match 7,Sunrisers Hyderabad,Mumbai Indians,2018-04-12,8:00 pm,2018
Match 8,Royal Challengers Bangalore,Punjab Kings,2018-04-13,8:00 pm,2018
Match 9,Mumbai Indians,Delhi Daredevils,2018-04-14,4:00 pm,2018
Match 10,Kolkata Knight Riders,Sunrisers Hyderabad,2018-04-14,8:00 pm,2018
Match 11,Royal Challengers Bangalore,Rajasthan Royals,2018-04-15,4:00 pm,2018
Match 12,Punjab Kings,Chennai Super Kings,2018-04-15,8:00 pm,2018
Match 13,Kolkata Knight Riders,Delhi Daredevils,2018-04-16,8:00 pm,2018
Match 14,Mumbai Indians,Royal Challengers Bangalore,2018-04-17,8:00 pm,2018
Match 15,Rajasthan Royals,Kolkata Knight Riders,2018-04-18,8:00 pm,2018
Match 16,Punjab Kings,Sunrisers Hyderabad,2018-04-19,8:00 pm,2018
Match 17,Chennai Super Kings,Rajasthan Royals,2018-04-20,8:00 pm,2018
Match 18,Kolkata Knight Riders,Punjab Kings,2018-04-21,4:00 pm,2018
Match 19,Royal Challengers Bangalore,Delhi Daredevils,2018-04-21,8:00 pm,2018
Match 20,Sunrisers Hyderabad,Chennai Super Kings,2018-04-22,4:00 pm,2018
Match 21,Rajasthan Royals,Mumbai Indians,2018-04-22,8:00 pm,2018
Match 22,Delhi Daredevils,Punjab Kings,2018-04-23,8:00 pm,2018
Match 23,Mumbai Indians,Sunrisers Hyderabad,2018-04-24,8:00 pm,2018
Match 24,Royal Challengers Bangalore,Chennai Super Kings,2018-04-25,8:00 pm,2018
Match 25,Sunrisers Hyderabad,Punjab Kings,2018-04-26,8:00 pm,2018
Match 26,Delhi Daredevils,Kolkata Knight Riders,2018-04-27,8:00 pm,2018
Match 27,Chennai Super Kings,Mumbai Indians,2018-04-28,8:00 pm,2018
Match 28,Rajasthan Royals,Sunrisers Hyderabad,2018-04-29,4:00 pm,2018
Match 29,Royal Challengers Bangalore,Kolkata Knight Riders,2018-04-29,8:00 pm,2018
Match 30,Chennai Super Kings,Delhi Daredevils,2018-04-30,8:00 pm,2018
Match 31,Royal Challengers Bangalore,Mumbai Indians,2018-05-01,8:00 pm,2018
Match 32,Delhi Daredevils,Rajasthan Royals,2018-05-02,8:00 pm,2018
Match 33,Kolkata Knight Riders,Chennai Super Kings,2018-05-03,8:00 pm,2018
Match 34,Punjab Kings,Mumbai Indians,2018-05-04,8:00 pm,2018
Match 35,Chennai Super Kings,Royal Challengers Bangalore,2018-05-05,4:00 pm,2018
Match 36,Sunrisers Hyderabad,Delhi Daredevils,2018-05-05,8:00 pm,2018
Match 37,Mumbai Indians,Kolkata Knight Riders,2018-05-06,4:00 pm,2018
Match 38,Punjab Kings,Rajasthan Royals,2018-05-06,8:00 pm,2018
Match 39,Sunrisers Hyderabad,Royal Challengers Bangalore,2018-05-07,8:00 pm,2018
Match 40,Rajasthan Royals,Punjab Kings,2018-05-08,8:00 pm,2018
Match 41,Kolkata Knight Riders,Mumbai Indians,2018-05-09,8:00 pm,2018
Match 42,Delhi Daredevils,Sunrisers Hyderabad,2018-05-10,8:00 pm,2018
Match 43,Rajasthan Royals,Chennai Super Kings,2018-05-11,8:00 pm,2018
Match 44,Punjab Kings,Kolkata Knight Riders,2018-05-12,4:00 pm,2018
Match 45,Delhi Daredevils,Royal Challengers Bangalore,2018-05-12,8:00 pm,2018
Match 46,Chennai Super Kings,Sunrisers Hyderabad,2018-05-13,4:00 pm,2018
Match 47,Mumbai Indians,Rajasthan Royals,2018-05-13,8:00 pm,2018
Match 48,Punjab Kings,Royal Challengers Bangalore,2018-05-14,8:00 pm,2018
Match 49,Kolkata Knight Riders,Rajasthan Royals,2018-05-15,8:00 pm,2018
Match 50,Mumbai Indians,Punjab Kings,2018-05-16,8:00 pm,2018
Match 51,Royal Challengers Bangalore,Sunrisers Hyderabad,2018-05-17,8:00 pm,2018
Match 52,Delhi Daredevils,Chennai Super Kings,2018-05-18,8:00 pm,2018
Match 53,Rajasthan Royals,Royal Challengers Bangalore,2018-05-19,4:00 pm,2018
Match 54,Sunrisers Hyderabad,Kolkata Knight Riders,2018-05-19,8:00 pm,2018
Match 55,Delhi Daredevils,Mumbai Indians,2018-05-20,4:00 pm,2018
Match 56,Chennai Super Kings,Punjab Kings,2018-05-20,8:00 pm,2018
Match 57,Sunrisers Hyderabad,Chennai Super Kings,2018-05-22,7:00 pm,2018
Match 58,Kolkata Knight Riders,Rajasthan Royals,2018-05-23,7:00 pm,2018
Match 59,Sunrisers Hyderabad,Kolkata Knight Riders,2018-05-25,7:00 pm,2018
Match 60,Chennai Super Kings,Sunrisers Hyderabad,2018-05-27,7:00 pm,2018
Match 1,Chennai Super Kings,Royal Challengers Bangalore,2019-03-23,8:00 pm,2019
Match 2,Kolkata Knight Riders,Sunrisers Hyderabad,2019-03-24,4:00 pm,2019
Match 3,Mumbai Indians,Delhi Capitals,2019-03-24,8:00 pm,2019
Match 4,Rajasthan Royals,Punjab Kings,2019-03-25,8:00 pm,2019
Match 5,Delhi Capitals,Chennai Super Kings,2019-03-26,8:00 pm,2019
Match 6,Kolkata Knight Riders,Punjab Kings,2019-03-27,8:00 pm,2019
Match 7,Royal Challengers Bangalore,Mumbai Indians,2019-03-28,8:00 pm,2019
Match 8,Sunrisers Hyderabad,Rajasthan Royals,2019-03-29,8:00 pm,2019
Match 9,Punjab Kings,Mumbai Indians,2019-03-30,4:00 pm,2019
Match 10,Delhi Capitals,Kolkata Knight Riders,2019-03-30,8:00 pm,2019
Match 11,Sunrisers Hyderabad,Royal Challengers Bangalore,2019-03-31,4:00 pm,2019
Match 12,Chennai Super Kings,Rajasthan Royals,2019-03-31,8:00 pm,2019
Match 13,Punjab Kings,Delhi Capitals,2019-04-01,8:00 pm,2019
Match 14,Rajasthan Royals,Royal Challengers Bangalore,2019-04-02,8:00 pm,2019
Match 15,Mumbai Indians,Chennai Super Kings,2019-04-03,8:00 pm,2019
Match 16,Delhi Capitals,Sunrisers Hyderabad,2019-04-04,8:00 pm,2019
Match 17,Royal Challengers Bangalore,Kolkata Knight Riders,2019-04-05,8:00 pm,2019
Match 18,Chennai Super Kings,Punjab Kings,2019-04-06,4:00 pm,2019
Match 19,Sunrisers Hyderabad,Mumbai Indians,2019-04-06,8:00 pm,2019
Match 20,Royal Challengers Bangalore,Delhi Capitals,2019-04-07,4:00 pm,2019
Match 21,Rajasthan Royals,Kolkata Knight Riders,2019-04-07,8:00 pm,2019
Match 22,Punjab Kings,Sunrisers Hyderabad,2019-04-08,8:00 pm,2019
Match 23,Chennai Super Kings,Kolkata Knight Riders,2019-04-09,8:00 pm,2019
Match 24,Mumbai Indians,Punjab Kings,2019-04-10,8:00 pm,2019
Match 25,Rajasthan Royals,Chennai Super Kings,2019-04-11,8:00 pm,2019
Match 26,Kolkata Knight Riders,Delhi Capitals,2019-04-12,8:00 pm,2019
Match 27,Mumbai Indians,Rajasthan Royals,2019-04-13,4:00 pm,2019
Match 28,Punjab Kings,Royal Challengers Bangalore,2019-04-13,8:00 pm,2019
Match 29,Kolkata Knight Riders,Chennai Super Kings,2019-04-14,4:00 pm,2019
Match 30,Sunrisers Hyderabad,Delhi Capitals,2019-04-14,8:00 pm,2019
Match 31,Mumbai Indians,Royal Challengers Bangalore,2019-04-15,8:00 pm,2019
Match 32,Punjab Kings,Rajasthan Royals,2019-04-16,8:00 pm,2019
Match 33,Sunrisers Hyderabad,Chennai Super Kings,2019-04-17,8:00 pm,2019
Match 34,Delhi Capitals,Mumbai Indians,2019-04-18,8:00 pm,2019
Match 35,Kolkata Knight Riders,Royal Challengers Bangalore,2019-04-19,8:00 pm,2019
Match 36,Rajasthan Royals,Mumbai Indians,2019-04-20,4:00 pm,2019
Match 37,Delhi Capitals,Punjab Kings,2019-04-20,8:00 pm,2019
Match 38,Sunrisers Hyderabad,Kolkata Knight Riders,2019-04-21,4:00 pm,2019
Match 39,Royal Challengers Bangalore,Chennai Super Kings,2019-04-21,8:00 pm,2019
Match 40,Rajasthan Royals,Delhi Capitals,2019-04-22,8:00 pm,2019
Match 41,Chennai Super Kings,Sunrisers Hyderabad,2019-04-23,8:00 pm,2019
Match 42,Royal Challengers Bangalore,Punjab Kings,2019-04-24,8:00 pm,2019
Match 43,Kolkata Knight Riders,Rajasthan Royals,2019-04-25,8:00 pm,2019
Match 44,Chennai Super Kings,Mumbai Indians,2019-04-26,8:00 pm,2019
Match 45,Rajasthan Royals,Sunrisers Hyderabad,2019-04-27,8:00 pm,2019
Match 46,Delhi Capitals,Royal Challengers Bangalore,2019-04-28,4:00 pm,2019
Match 47,Kolkata Knight Riders,Mumbai Indians,2019-04-28,8:00 pm,2019
Final,Sunrisers Hyderabad,Punjab Kings,2019-04-29,8:00 pm,2019
Match 49,Royal Challengers Bangalore,Rajasthan Royals,2019-04-30,8:00 pm,2019
Match 50,Chennai Super Kings,Delhi Capitals,2019-05-01,8:00 pm,2019
Match 51,Mumbai Indians,Sunrisers Hyderabad,2019-05-02,8:00 pm,2019
Match 52,Punjab Kings,Kolkata Knight Riders,2019-05-03,8:00 pm,2019
Match 53,Delhi Capitals,Rajasthan Royals,2019-05-04,4:00 pm,2019
Match 54,Royal Challengers Bangalore,Sunrisers Hyderabad,2019-05-04,8:00 pm,2019
Match 55,Punjab Kings,Chennai Super Kings,2019-05-05,4:00 pm,2019
Match 56,Mumbai Indians,Kolkata Knight Riders,2019-05-05,8:00 pm,2019
Match 57,Mumbai Indians,Chennai Super Kings,2019-05-07,7:30 pm,2019
Match 58,Delhi Capitals,Sunrisers Hyderabad,2019-05-08,7:30 pm,2019
Match 59,Chennai Super Kings,Delhi Capitals,2019-05-10,7:30 pm,2019
Match 60,Mumbai Indians,Chennai Super Kings,2019-05-12,7:30 pm,2019
Match 1,Mumbai Indians,Chennai Super Kings,2020-09-19,07:30 PM,2020
Match 2,Delhi Capitals,Punjab Kings,2020-09-20,07:30 PM,2020
Match 3,Sunrisers Hyderabad,Royal Challengers Bangalore,2020-09-21,07:30 PM,2020
Match 4,Rajasthan Royals,Chennai Super Kings,2020-09-22,07:30 PM,2020
Match 5,Kolkata Knight Riders,Mumbai Indians,2020-09-23,07:30 PM,2020
Match 6,Punjab Kings,Royal Challengers Bangalore,2020-09-24,07:30 PM,2020
Match 7,Chennai Super Kings,Delhi Capitals,2020-09-25,07:30 PM,2020
Match 8,Kolkata Knight Riders,Sunrisers Hyderabad,2020-09-26,07:30 PM,2020
Match 9,Rajasthan Royals,Punjab Kings,2020-09-27,07:30 PM,2020
Match 10,Royal Challengers Bangalore,Mumbai Indians,2020-09-28,07:30 PM,2020
Match 11,Delhi Capitals,Sunrisers Hyderabad,2020-09-29,07:30 PM,2020
Match 12,Rajasthan Royals,Kolkata Knight Riders,2020-09-30,07:30 PM,2020
Match 13,Punjab Kings,Mumbai Indians,2020-10-01,07:30 PM,2020
Match 14,Chennai Super Kings,Sunrisers Hyderabad,2020-10-02,07:30 PM,2020
Match 15,Royal Challengers Bangalore,Rajasthan Royals,2020-10-03,03:30 PM,2020
Match 16,Delhi Capitals,Kolkata Knight Riders,2020-10-03,07:30 PM,2020
Match 17,Mumbai Indians,Sunrisers Hyderabad,2020-10-04,03:30 PM,2020
Match 18,Punjab Kings,Chennai Super Kings,2020-10-04,07:30 PM,2020
Match 19,Royal Challengers Bangalore,Delhi Capitals,2020-10-05,07:30 PM,2020
Match 20,Mumbai Indians,Rajasthan Royals,2020-10-06,07:30 PM,2020
Match 21,Kolkata Knight Riders,Chennai Super Kings,2020-10-07,07:30 PM,2020
Match 22,Sunrisers Hyderabad,Punjab Kings,2020-10-08,07:30 PM,2020
Match 23,Rajasthan Royals,Delhi Capitals,2020-10-09,07:30 PM,2020
Match 24,Punjab Kings,Kolkata Knight Riders,2020-10-10,03:30 PM,2020
Match 25,Chennai Super Kings,Royal Challengers Bangalore,2020-10-10,07:30 PM,2020
Match 26,Sunrisers Hyderabad,Rajasthan Royals,2020-10-11,03:30 PM,2020
Match 27,Mumbai Indians,Delhi Capitals,2020-10-11,07:30 PM,2020
Match 28,Royal Challengers Bangalore,Kolkata Knight Riders,2020-10-12,07:30 PM,2020
Match 29,Sunrisers Hyderabad,Chennai Super Kings,2020-10-13,07:30 PM,2020
Match 30,Delhi Capitals,Rajasthan Royals,2020-10-14,07:30 PM,2020
Match 31,Royal Challengers Bangalore,Punjab Kings,2020-10-15,07:30 PM,2020
Match 32,Mumbai Indians,Kolkata Knight Riders,2020-10-16,07:30 PM,2020
Match 33,Rajasthan Royals,Royal Challengers Bangalore,2020-10-17,03:30 PM,2020
Match 34,Delhi Capitals,Chennai Super Kings,2020-10-17,07:30 PM,2020
Match 35,Sunrisers Hyderabad,Kolkata Knight Riders,2020-10-18,03:30 PM,2020
Match 36,Mumbai Indians,Punjab Kings,2020-10-18,07:30 PM,2020
Match 37,Chennai Super Kings,Rajasthan Royals,2020-10-19,07:30 PM,2020
Match 38,Punjab Kings,Delhi Capitals,2020-10-20,07:30 PM,2020
Match 39,Kolkata Knight Riders,Royal Challengers Bangalore,2020-10-21,07:30 PM,2020
Match 40,Rajasthan Royals,Sunrisers Hyderabad,2020-10-22,07:30 PM,2020
Match 41,Chennai Super Kings,Mumbai Indians,2020-10-23,07:30 PM,2020
Match 42,Kolkata Knight Riders,Delhi Capitals,2020-10-24,03:30 PM,2020
Match 43,Punjab Kings,Sunrisers Hyderabad,2020-10-24,07:30 PM,2020
Match 44,Royal Challengers Bangalore,Chennai Super Kings,2020-10-25,03:30 PM,2020
Match 45,Rajasthan Royals,Mumbai Indians,2020-10-25,07:30 PM,2020
Match 46,Kolkata Knight Riders,Punjab Kings,2020-10-26,07:30 PM,2020
Match 47,Sunrisers Hyderabad,Delhi Capitals,2020-10-27,07:30 PM,2020
Match 48,Mumbai Indians,Royal Challengers Bangalore,2020-10-28,07:30 PM,2020
Match 49,Chennai Super Kings,Kolkata Knight Riders,2020-10-29,07:30 PM,2020
Match 50,Punjab Kings,Rajasthan Royals,2020-10-30,07:30 PM,2020
Match 51,Delhi Capitals,Mumbai Indians,2020-10-31,03:30 PM,2020
Match 52,Royal Challengers Bangalore,Sunrisers Hyderabad,2020-10-31,07:30 PM,2020
Match 53,Chennai Super Kings,Punjab Kings,2020-11-01,03:30 PM,2020
Match 54,Kolkata Knight Riders,Rajasthan Royals,2020-11-01,07:30 PM,2020
Match 55,Delhi Capitals,Royal Challengers Bangalore,2020-11-02,07:30 PM,2020
Match 56,Sunrisers Hyderabad,Mumbai Indians,2020-11-03,07:30 PM,2020
Match 57,Mumbai Indians,Delhi Capitals,2020-11-05,07:30 PM,2020
Match 58,Sunrisers Hyderabad,Royal Challengers Bangalore,2020-11-06,07:30 PM,2020
Match 59,Delhi Capitals,Sunrisers Hyderabad,2020-11-08,07:30 PM,2020
Final,Mumbai Indians,Delhi Capitals,2020-11-10,07:30 PM,2020
Match 1,Mumbai Indians,Royal Challengers Bangalore,2021-04-09,7:30 pm,2021
Match 2,Chennai Super Kings,Delhi Capitals,2021-04-10,7:30 pm,2021
Match 3,Sunrisers Hyderabad,Kolkata Knight Riders,2021-04-11,7:30 pm,2021
Match 4,Rajasthan Royals,Punjab Kings,2021-04-12,7:30 pm,2021
